"project.description.id","trap.visit.id","site.name","sub.site.name","visit.type","fish.processed","trap.functioning","counter.at.end","rpm.revolutions.at.start","rpm.revolutions.at.end","include.catch","water.temp","turbidity","date","time","calendar.year","water.year"
2,1,"Eye Riffle","Eye riffle_north","Start trap & begin trapping","Not applicable","Trap not in service",NA,NA,NA,"Yes",NA,NA,1997-12-22,10:40:00,1997,1998
2,2,"Live Oak","Live Oak","Start trap & begin trapping","Not applicable","Trap not in service",NA,NA,NA,"Yes",NA,NA,1997-12-22,16:48:00,1997,1998
2,3,"Eye Riffle","Eye riffle_north","End trapping","Processed fish","Not recorded",NA,NA,1.5,"Yes",8.88888931274414,NA,1997-12-23,11:40:00,1997,1998
2,4,"Live Oak","Live Oak","End trapping","Processed fish","Not recorded",2917,NA,2.79999995231628,"Yes",8.88888931274414,NA,1997-12-23,13:34:00,1997,1998
2,5,"Eye Riffle","Eye riffle_north","Start trap & begin trapping","Not applicable","Trap not in service",NA,NA,NA,"Yes",NA,NA,1997-12-26,13:56:00,1997,1998
2,6,"Live Oak","Live Oak","Start trap & begin trapping","Not applicable","Trap not in service",NA,NA,NA,"Yes",NA,NA,1997-12-26,16:01:00,1997,1998
2,7,"Eye Riffle","Eye riffle_north","Continue trapping","Processed fish","Not recorded",1826,NA,2.20000004768372,"Yes",7.77777767181396,NA,1997-12-27,09:56:00,1997,1998
2,8,"Live Oak","Live Oak","Continue trapping","Processed fish","Not recorded",NA,NA,2.20000004768372,"Yes",7.77777767181396,NA,1997-12-27,12:17:00,1997,1998
2,9,"Eye Riffle","Eye riffle_north","Continue trapping","Processed fish","Not recorded",1873,NA,1.60000002384186,"Yes",8.33333301544189,NA,1997-12-28,09:11:00,1997,1998
2,10,"Live Oak","Live Oak","Continue trapping","Processed fish","Not recorded",2522,NA,1.5,"Yes",7.77777767181396,NA,1997-12-28,11:08:00,1997,1998
2,11,"Eye Riffle","Eye riffle_north","Continue trapping","Processed fish","Not recorded",1961,NA,1.39999997615814,"Yes",8.88888931274414,NA,1997-12-29,12:32:00,1997,1998
2,12,"Live Oak","Live Oak","Continue trapping","Processed fish","Not recorded",2605,NA,2,"Yes",8.33333301544189,NA,1997-12-29,14:28:00,1997,1998
2,13,"Eye Riffle","Eye riffle_north","Continue trapping","Processed fish","Not recorded",1528,NA,1.5,"Yes",8.33333301544189,NA,1997-12-30,10:08:00,1997,1998
2,14,"Live Oak","Live Oak","Continue trapping","Processed fish","Not recorded",2145,NA,2,"Yes",8.88888931274414,NA,1997-12-30,12:08:00,1997,1998
2,15,"Eye Riffle","Eye riffle_north","End trapping","Processed fish","Not recorded",1599,NA,1.5,"Yes",8.88888931274414,NA,1997-12-31,10:24:00,1997,1998
2,16,"Live Oak","Live Oak","End trapping","Processed fish","Not recorded",2495,NA,1.5,"Yes",8.88888931274414,NA,1997-12-31,12:24:00,1997,1998
2,17,"Eye Riffle","Eye riffle_north","Start trap & begin trapping","Not applicable","Trap not in service",NA,NA,NA,"Yes",NA,NA,1998-01-02,11:53:00,1998,1998
2,18,"Live Oak","Live Oak","Start trap & begin trapping","Not applicable","Trap not in service",NA,NA,NA,"Yes",NA,NA,1998-01-02,12:53:00,1998,1998
2,19,"Live Oak","Live Oak","Continue trapping","Processed fish","Not recorded",2379,NA,2.09999990463257,"Yes",9.44444465637207,NA,1998-01-03,09:15:00,1998,1998
