agency_cd,location_id,datetime,parameter_cd,flow.cfs,latitude,longitude
CDEC,IE,NA,NA,NA,NA,NA
CDEC,IE,NA,NA,NA,NA,NA
CDEC,IE,NA,NA,NA,NA,NA
CDEC,(GT,NA,NA,NA,NA,NA
CDEC,"CLASS=""NO-JS""",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,GOOGLE,NA,NA,NA,NA,NA
CDEC,END,NA,NA,NA,NA,NA
CDEC,"CHARSET=""UTF-8"">",NA,NA,NA,NA,NA
CDEC,DATA,NA,NA,NA,NA,NA
CDEC,"NAME=""AUTHOR""",NA,NA,NA,NA,NA
CDEC,"NAME=""DESCRIPTION""",NA,NA,NA,NA,NA
CDEC,"NAME=""KEYWORDS""",NA,NA,NA,NA,NA
CDEC,OPEN,NA,NA,NA,NA,NA
CDEC,"PROPERTY=""OG:TITLE""",NA,NA,NA,NA,NA
CDEC,"PROPERTY=""OG:DESCRIPTION""",NA,NA,NA,NA,NA
CDEC,"PROPERTY=""OG:URL""",NA,NA,NA,NA,NA
CDEC,"PROPERTY=""OG:IMAGE""",NA,NA,NA,NA,NA
CDEC,USE,NA,NA,NA,NA,NA
CDEC,"HTTP-EQUIV=""X-UA-COMPATIBLE""",NA,NA,NA,NA,NA
CDEC,HTTP://T.CO/DKP3O1E,NA,NA,NA,NA,NA
CDEC,"NAME=""HANDHELDFRIENDLY""",NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"NAME=""MOBILEOPTIMIZED""",NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"NAME=""VIEWPORT""",NA,NA,NA,NA,NA
CDEC,GOOGLE,NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"REL=""STYLESHEET""",NA,NA,NA,NA,NA
CDEC,"REL=""STYLESHEET""",NA,NA,NA,NA,NA
CDEC,"REL=""STYLESHEET""",NA,NA,NA,NA,NA
CDEC,"REL=""STYLESHEET""",NA,NA,NA,NA,NA
CDEC,"REL=""STYLESHEET""",NA,NA,NA,NA,NA
CDEC,"HTTP-EQUIV=""CONTENT-SECURITY-POLICY""",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,TEMPLATEENDEDITABLE,NA,NA,NA,NA,NA
CDEC,"TYPE=""TEXT/JAVASCRIPT""",NA,NA,NA,NA,NA
CDEC,IE]>,NA,NA,NA,NA,NA
CDEC,"REL=""STYLESHEET""",NA,NA,NA,NA,NA
CDEC,"REL=""STYLESHEET""",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,"SELECTIVIZR.COM,",NA,NA,NA,NA,NA
CDEC,(LT,NA,NA,NA,NA,NA
CDEC,"SRC=""/JS/LIBS/SELECTIVIZR-MIN.JS""></SCRIPT>",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"REL=""APPLE-TOUCH-ICON""",NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"REL=""APPLE-TOUCH-ICON""",NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"REL=""APPLE-TOUCH-ICON""",NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"REL=""APPLE-TOUCH-ICON""",NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"REL=""SHORTCUT",NA,NA,NA,NA,NA
CDEC,FOR,NA,NA,NA,NA,NA
CDEC,"REL=""SHORTCUT",NA,NA,NA,NA,NA
CDEC,MICROSOFT.,NA,NA,NA,NA,NA
CDEC,IE]>,NA,NA,NA,NA,NA
CDEC,"HTTP-EQUIV=""CLEARTYPE""",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,HTML5,NA,NA,NA,NA,NA
CDEC,LT,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,"CHARSET=""UTF-8"">",NA,NA,NA,NA,NA
CDEC,"NAME=""VICURRENTDATETIME""",NA,NA,NA,NA,NA
CDEC,"TYPE=""TEXT/JAVASCRIPT""",NA,NA,NA,NA,NA
CDEC,"SRC=""/CAJS/SWFOBJECT_MODIFIED.JS""",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,-1.8,NA,NA
CDEC,"TYPE=""TEXT/JAVASCRIPT""",NA,NA,NA,NA,NA
CDEC,VARIABLE,NA,NA,NA,NA,NA
CDEC,"MODERNIZR.COM,",NA,NA,NA,NA,NA
CDEC,"TYPE=""TEXT/JAVASCRIPT""",NA,NA,NA,NA,NA
CDEC,"TYPE=""TEXT/JAVASCRIPT""",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,SET,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,"CLASS=""UTILITY-HEADER"">",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,"ID=""NAVIGATION""",NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
CDEC,NA,NA,NA,NA,NA,NA
