MethodCode,StationCode,SampleDate,SampleTime,GearID,StreamGauge,TrapStatus,Debris,GearConditionCode,TimePerRevBefore,TimePerRevAfter,TrapRevolutions,Comments
RSTR,ST040X,1996-02-02,08:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-03,07:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-04,07:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-06,07:00:00,RSTR8,n/p,NA,n/p,NA,8.51,NA,NA,high flow previous day
RSTR,ST040X,1996-02-07,06:30:00,RSTR8,n/p,NA,n/p,NA,8.39,NA,NA,NA
RSTR,ST040X,1996-02-07,16:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-08,07:30:00,RSTR8,n/p,NA,n/p,NA,8.45,NA,NA,NA
RSTR,ST040X,1996-02-08,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-09,07:00:00,RSTR8,0.3,NA,n/p,NA,8.09,NA,NA,NA
RSTR,ST040X,1996-02-10,07:00:00,RSTR8,0.31,NA,n/p,NA,8,NA,NA,all fish released
RSTR,ST040X,1996-02-11,07:00:00,RSTR8,1.4,NA,n/p,NA,8.23,NA,NA,NA
RSTR,ST040X,1996-02-11,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-12,07:00:00,RSTR8,1.3,NA,n/p,NA,7,NA,NA,all fish placed in holding pen (net #14)
RSTR,ST040X,1996-02-12,18:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-12,20:45:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-12,22:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-13,07:00:00,RSTR8,1.4,NA,n/p,NA,NA,NA,NA,all unmarked fish placed in holding pen
RSTR,ST040X,1996-02-14,07:00:00,RSTR8,2.2,NA,n/p,NA,NA,NA,NA,river rose one foot; high morts due to strong current in trap
RSTR,ST040X,1996-02-15,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,fish checked for marks and released; heavy debris removed
RSTR,ST040X,1996-02-16,06:00:00,RSTR8,5,3,n/p,3,8.44,NA,NA,trap stopped upon arrival; trap raised for daytime; river elevation exceeds gauge
RSTR,ST040X,1996-02-17,07:30:00,RSTR8,5,NA,n/p,NA,8,NA,NA,river elevation exceeds gauge
RSTR,ST040X,1996-02-17,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-18,07:00:00,RSTR8,5,NA,n/p,NA,9.28,NA,NA,NA
RSTR,ST040X,1996-02-18,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-19,07:00:00,RSTR8,5,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-19,19:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-24,07:00:00,RSTR8,5,NA,n/p,NA,8.38,NA,NA,NA
RSTR,ST040X,1996-02-24,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-25,07:30:00,RSTR8,5,NA,n/p,NA,7.87,NA,NA,NA
